g_number,g_price,g_details,g_picture,g_color,g_size,g_brand
100042379746,4099.00,商品名称：小度XD-SDB21-2201&商品编号：100042379746&商品毛重：1.93kg&商品产地：中国大陆&屏幕尺寸：13.3英寸&学生模式：含学生模式&附加功能：真人发音，摄像头功能，拍照学习&内存容量：256GB&类型：学习机&适用人群：小学，初中生，高中生&运行内存：6GB&接口：Type-C&家长管控：可管控&内核：八核&支持IPv6：支持IPv6&电池容量：8001-9000mAh&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/66168/18/22499/113883/645c5b58F7db4f537/145acabf15de6b40.jpg,年度新品-Z20 Plus智学版6+256G,,小度
100014352499,2599.00,商品名称：AppleiPad（第九代） &商品编号：100014352499&商品毛重：0.9kg&商品产地：中国大陆&内存容量：64GB&是否支持专用键盘：支持专用键盘&类型：其他&系统：iPadOS&厚度：7.1-9mm&屏幕尺寸：10.2英寸&运行内存：其他&处理器：A13&分辨率：2160*1620&支持IPv6：不支持IPv6&特性：指纹识别&颜色：灰色&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/113826/13/34606/25228/645c897eF690ee0cc/638d2a79a1342bba.jpg,深空灰色,iPad9代 64G WLAN版,Apple
100014352553,2599.00,商品名称：AppleiPad（第九代） &商品编号：100014352553&商品毛重：0.87kg&商品产地：中国大陆&内存容量：64GB&是否支持专用键盘：支持专用键盘&类型：其他&系统：iPadOS&厚度：7.1-9mm&屏幕尺寸：10.2英寸&运行内存：其他&处理器：A13&分辨率：2160*1620&支持IPv6：不支持IPv6&特性：指纹识别&颜色：银色&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/160410/17/38272/24822/645c8971F8adca2a9/2f788e554dd74fd7.jpg,银色,iPad9代 64G WLAN版,Apple
100028614699,1199.00,商品名称：荣耀HEY-W09&商品编号：100028614699&商品毛重：0.85kg&商品产地：中国大陆&内存容量：128GB&分辨率：2000*1200&学生模式：含学生模式&类型：娱乐平板&支持IPv6：支持IPv6&护眼模式：莱茵认证&系统：Android&处理器：高通680&厚度：7.0mm以下&是否支持专用键盘：支持专用键盘&运行内存：4GB&CPU核心数：八核&家长管控：可管控&屏幕尺寸：12英寸&特性：分屏应用&颜色：蓝色&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/132538/14/36422/69287/6459fd36F26b79325/4e1b4c1d7a570382.jpg,【荣耀平板8】曙光蓝,4+128GB,荣耀（HONOR）
100033895888,1999.00,商品名称：联想拯救者Y700&商品编号：100033895888&商品毛重：0.85kg&商品产地：中国大陆&可扩展容量：最大支持1TB&分辨率：2560*1600&类型：娱乐平板&系统：Android&厚度：7.1-9mm&特性：分屏应用&屏幕尺寸：8.8英寸&学生模式：含学生模式&支持IPv6：支持IPv6&护眼模式：莱茵认证&处理器：高通骁龙870&是否支持专用键盘：不支持专用键盘&运行内存：12GB&内存容量：256GB&家长管控：可管控&优选服务：两年质保&CPU核心数：八核&颜色：灰色&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/149767/34/32135/94435/645dad47Fad7d1811/c8adfe15bc273045.jpg,拯救者Y700 钛晶灰,12+256GB,联想（Lenovo）
10058741790192,570.00,商品名称：第三星种X30Pro&商品编号：10058741790192&店铺： 超时空电脑办公专营店&商品毛重：1.5kg&商品产地：中国大陆&货号：769760900813&屏幕尺寸：其他&可扩展容量：最大支持512GB&是否支持专用键盘：支持专用键盘&内存容量：512GB&支持IPv6：支持IPv6&优选服务：三年质保&系统：Android&学生模式：含学生模式&厚度：7.0mm以下&CPU核心数：十核&运行内存：12GB&类型：娱乐平板&家长管控：可管控&分辨率：2560*1600&特性：窄边框&颜色：其他&,http://img12.360buyimg.com/n1/jfs/t1/106219/11/40172/85161/642f898fFb0c1fd56/ea2badf08fcc6179.jpg,流光银丨12+128G丨12英寸+定制原装鼠标键盘,,第三星种
100026667924,3799.00,商品名称：AppleiPad（第九代） &商品编号：100026667924&商品毛重：0.87kg&商品产地：中国大陆&屏幕尺寸：10.2英寸&是否支持专用键盘：支持专用键盘&类型：其他&系统：iPadOS&厚度：7.1-9mm&分辨率：2160*1620&运行内存：其他&内存容量：256GB&处理器：A13&支持IPv6：不支持IPv6&特性：指纹识别&颜色：灰色&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/167404/3/37439/25172/645c895aF8df107e0/6f5101ab886fbd88.jpg,深空灰色,iPad9代 256G WLAN版,Apple
100027743464,2439.00,商品名称：AppleiPad（第九代） &商品编号：100027743464&商品毛重：0.88kg&商品产地：中国大陆&屏幕尺寸：10.2英寸&分辨率：2160*1620&类型：办公平板&系统：iPadOS&厚度：7.1-9mm&支持IPv6：不支持IPv6&运行内存：其他&内存容量：64GB&处理器：A13&是否支持专用键盘：支持专用键盘&特性：指纹识别&颜色：灰色&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/183814/32/34880/27254/645c89f5F74d2d46d/3c0874579e98ec04.jpg,深空灰色,iPad9代 64G WLAN版,Apple
100055158141,2499.00,商品名称：华为HUAWEI MatePad 11英寸2023款&商品编号：100055158141&商品毛重：0.9kg&商品产地：中国大陆&内存容量：128GB&分辨率：2560*1600&支持IPv6：支持IPv6&系统：HarmonyOS&厚度：7.1-9mm&热门机型：华为 MatePad&屏幕尺寸：11英寸&运行内存：8GB&类型：学习平板&颜色：黑色&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/168932/31/35844/26363/64256d80F6fe8a537/a2e1e65a5849eae0.jpg,【MatePad11新品】曜石黑,8+128GB,华为（HUAWEI）
100019501382,949.00,商品名称：荣耀荣耀平板7&商品编号：100019501382&商品毛重：0.72kg&商品产地：中国大陆&内存容量：128GB&可扩展容量：最大支持512GB&分辨率：1920*1200&类型：娱乐平板&护眼模式：莱茵认证&系统：Android&厚度：7.1-9mm&支持IPv6：支持IPv6&运行内存：4GB&学生模式：含学生模式&家长管控：可管控&屏幕尺寸：10.1英寸&特性：分屏应用&颜色：绿色&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/195387/37/36060/62459/64560a3bFc150a612/07094aec61822338.jpg,【金榜爆款】4+128G 薄荷绿,,荣耀（HONOR）
