g_number,g_price,g_details,g_picture,g_color,g_size,g_brand
100051262364,7299.00,商品名称：小米小米13 Ultra&商品编号：100051262364&商品毛重：0.642kg&商品产地：中国大陆&CPU型号：骁龙8 Gen2&运行内存：16GB&机身颜色：白色&三防标准：IP68&屏幕分辨率：WQHD+&充电功率：80-119W&机身内存：1TB&机身色系：白色系&屏幕材质：OLED曲面屏&后摄主像素：5000万像素&风格：商务，科技&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/143759/8/31559/60800/6458bf43F5db254fd/11ff2266e99de674.jpg,白色,16GB+1TB,小米（MI）
100037311057,1299.00,商品名称：OPPOK10x &商品编号：100037311057&商品毛重：0.56kg&商品产地：中国大陆&CPU型号：骁龙600系列&运行内存：8GB&机身颜色：极光&三防标准：IPX4&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：128GB&风格：时尚，简约风&屏幕材质：LCD&后摄主像素：6400万像素&机身色系：混合色系&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/137103/7/32043/51883/645ded6eFc6743acc/ba42a1aa11b62779.jpg,极光,8GB+128GB,OPPO
100028235502,999.00,商品名称：小米Redmi Note 11 5G&商品编号：100028235502&商品毛重：470.00g&商品产地：中国大陆&CPU型号：天玑800系列&运行内存：6GB&机身颜色：神秘黑境&三防标准：IP53&屏幕分辨率：FHD+&充电功率：26-49W&机身内存：128GB&机身色系：黑色系&屏幕材质：LCD&后摄主像素：5000万像素&风格：科技，时尚，大气&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/175598/39/34704/41284/6412c14cF116ff088/622c954a56e2b970.jpg,神秘黑境,6GB+128GB,小米（MI）
100019459625,899.00,商品名称：OPPOA36&商品编号：100019459625&商品毛重：500.00g&商品产地：中国大陆&CPU型号：骁龙600系列&运行内存：6GB&机身颜色：晴川蓝&三防标准：生活防水&屏幕分辨率：HD+&充电功率：25W及以下&机身内存：128GB&机身色系：混合色系&屏幕材质：LCD&后摄主像素：1300万像素&风格：简约风，时尚&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/221602/33/25342/58973/645dd94cFd6879f86/eb2bda9353d3a313.jpg,晴川蓝,,OPPO
100037437645,1549.00,商品名称：荣耀新品手机&商品编号：100037437645&商品毛重：440.00g&商品产地：中国大陆&CPU型号：骁龙600系列&运行内存：8GB&机身颜色：彩云追月&三防标准：不支持防水&屏幕分辨率：FHD+&充电功率：26-49W&机身内存：128GB&机身色系：银色系&屏幕材质：OLED曲面屏&后摄主像素：5000万像素&风格：简约风，时尚&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/7169/20/17985/33829/63241b3aE7dcfd261/efb35507276509cd.jpg,彩云追月,8GB+128GB,荣耀（HONOR）
100047612060,1099.00,商品名称：荣耀荣耀手机&商品编号：100047612060&商品毛重：400.00g&商品产地：中国大陆&CPU型号：天玑6020&运行内存：8GB&机身颜色：钛空银&三防标准：不支持防水&屏幕分辨率：HD+&充电功率：25W及以下&风格：大气，时尚&屏幕材质：LCD&机身内存：128GB&机身色系：银色系&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/160535/22/36813/30975/64216a29F2e47044c/eb5996f2ea154513.jpg,钛空银,8GB+128GB,荣耀（HONOR）
100055352743,2099.00,商品名称：小米Redmi Note12 Turbo&商品编号：100055352743&商品毛重：490.00g&商品产地：中国大陆&CPU型号：骁龙7+ Gen2&运行内存：12GB&机身颜色：黑色&三防标准：IP53&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：256GB&风格：简约风，科技，大气&屏幕材质：OLED直屏&后摄主像素：6400万像素&机身色系：黑色系&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/111831/9/34931/48798/6458e7dcFac0f4806/24186b10c315d873.jpg,碳纤黑,12GB+256GB,小米（MI）
100031192618,1199.00,商品名称：OPPOK9x&商品编号：100031192618&商品毛重：0.54kg&商品产地：中国大陆&CPU型号：天玑800系列&运行内存：8GB&机身颜色：银紫超梦&三防标准：不支持防水&充电功率：26-49W&支持IPv6：支持IPv6&屏幕材质：LTPS LCD&后摄主像素：6400万像素&机身内存：128GB&屏幕分辨率：FHD+&机身色系：混合色系&风格：简约风，时尚&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/211472/23/31919/76417/645debd0F223a9bf0/8d1556fafc045130.jpg,银紫超梦,8GB+128GB,OPPO
100053251673,2299.00,商品名称：一加Ace 2V&商品编号：100053251673&商品毛重：0.545kg&商品产地：中国大陆&CPU型号：天玑9000&运行内存：12GB&机身颜色：青釉&三防标准：IPX4&充电功率：80-119W&支持IPv6：支持IPv6&屏幕材质：OLED直屏&后摄主像素：6400万像素&机身内存：256GB&屏幕分辨率：FHD+&泰尔电竞评级：电竞手机&风格：科技，时尚，简约风&机身色系：青色系&特征特质：屏幕指纹，屏幕高刷新率，防水防尘，NFC，5G，红外遥控，VC散热，大底主摄&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/112706/17/33155/65835/645de3c9Fb7a77535/f63ccb158302c832.jpg,青釉,12GB+256GB,一加
100048276065,2399.00,商品名称：荣耀荣耀手机&商品编号：100048276065&商品毛重：500.00g&商品产地：中国大陆&CPU型号：骁龙782G&运行内存：8GB&机身颜色：墨玉青&三防标准：不支持防水&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：256GB&风格：科技，时尚，大气&屏幕材质：OLED曲面屏&后摄主像素：1.6亿像素&机身色系：青色系&,http://img10.360buyimg.com/n1/s450x450_jfs/t1/159364/11/31084/125065/6392ad4dEff61e94e/738278b6adddef54.jpg,墨玉青,8GB+256GB,荣耀（HONOR）
100047126811,2499.00,商品名称：OPPOReno9&商品编号：100047126811&商品毛重：500.00g&商品产地：中国大陆&CPU型号：骁龙778G&运行内存：8GB&机身颜色：微醺&三防标准：IPX4&屏幕分辨率：FHD+&充电功率：50-79W&机身内存：256GB&机身色系：混合色系&屏幕材质：OLED曲面屏&后摄主像素：6400万像素&风格：科技，时尚，简约风&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/175929/7/37722/55311/645e06d6F9a700c58/e9da60018814107b.jpg,微醺,8GB+256GB,OPPO
100045503722,1499.00,商品名称：vivoiQOO Z7x&商品编号：100045503722&商品毛重：0.51kg&商品产地：中国大陆&CPU型号：骁龙600系列&运行内存：8GB&机身颜色：深空黑&三防标准：不支持防水&充电功率：80-119W&屏幕材质：LCD&后摄主像素：5000万像素&特征特质：屏幕高刷新率，5G&屏幕分辨率：FHD+&风格：科技，时尚&机身色系：黑色系&机身内存：256GB&,http://img12.360buyimg.com/n1/s450x450_jfs/t1/211562/27/31490/59344/645ddd75Fe38fc838/71eb49896aad08c6.jpg,深空黑,8GB+256GB,vivo
