g_number,g_price,g_details,g_picture,g_color,g_size,g_brand
100021044009,1399.00,商品名称：酷开智享&商品编号：100021044009&商品毛重：4.15kg&商品产地：中国大陆&内存容量：8GB&系列：酷开-火箭系列&类型：单主机&系统：Windows 10&机箱大小：10-20L&处理器：AMD&优选服务：一年质保&硬盘容量：240-256GB SSD&屏幕尺寸：23-25英寸&显卡型号：集成显卡&支持IPv6：支持IPv6&特性：拆机保修，无线上网&适用场景：商用&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/149751/2/32854/82394/64538408F33053c4e/1e37fb0725cb8a86.jpg,主机+23.8英寸显示器套装,【⭐爆款】八核A9 8G 256GWiFi,酷开（coocaa）
100033060796,3009.00,商品名称：联想扬天M4000q&商品编号：100033060796&商品毛重：5.85kg&商品产地：中国大陆&货号：90SL0008CD&屏幕尺寸：20-21.5英寸&能效等级：一级能效&类型：主机+显示器&内存容量：8GB&优选服务：上门服务，三年质保，7*24H咨询&机箱大小：10L以下&处理器：intel i3&系统：Windows 11&硬盘容量：512GB SSD&支持IPv6：支持IPv6&显卡型号：集成显卡&系列：联想-扬天M4000q系列&特性：无线上网&适用场景：商用&,http://img11.360buyimg.com/n1/jfs/t1/113978/4/38093/66714/6461fd66F8425c9ee/c661336b9da025a3.jpg,21.45英寸,【爆款】12代i3 8G 512G WiFi,联想（Lenovo）
100032149194,3399.00,商品名称：华为MateBook D&商品编号：100032149194&商品毛重：2.15kg&商品产地：中国大陆&屏幕色域：45%NTSC&类型：轻薄笔记本&系统：Windows 11&厚度：15.1-18.0mm&特性：指纹识别，全面屏，Wi-Fi 6&内存容量：8GB&系列：华为-Matebook&支持IPv6：支持IPv6&颜色：银色&屏幕尺寸：14.0-14.9英寸&处理器：intel i5&屏幕刷新率：60Hz&屏幕比例：16:9&显卡芯片供应商：Intel&显卡型号：集成显卡&优选服务：两年质保&固态硬盘（SSD）：512GB&机械硬盘：无机械硬盘&,http://img14.360buyimg.com/n1/s450x450_jfs/t1/147227/33/31508/29528/6433e1d5F9a03d26f/ebbe8e1aa8bd2148.jpg,MateBook D 14 SE,i5 8G 512G 皓月银,华为（HUAWEI）
10055406984027,3548.00,商品名称：启稚 英特尔十二核RTX3060独显大容量1T固态办公游戏家用组装吃鸡台式机电脑主机水冷整机全套 套餐五：十二核+32G/1T/3060 光追特效 主机+27英寸显示器&商品编号：10055406984027&店铺： 启稚电脑整机旗舰店&商品毛重：12.0kg&内存容量：32GB&系列：无&类型：主机+显示器&系统：Windows 10&机箱大小：10-20L&处理器：intel E5&屏幕尺寸：27英寸及以上&硬盘容量：1TB SSD&支持IPv6：支持IPv6&显卡型号：RTX 3060&优选服务：上门服务，三年质保，7*24H咨询&特性：水冷，RGB灯效，侧透&适用场景：游戏电竞&,http://img12.360buyimg.com/n1/jfs/t1/165045/24/33932/204322/6455f043Fc6b5dc48/574d6e4099b0e979.jpg,套餐五：十二核+32G/1T/3060 光追特效,主机+27英寸显示器,启稚
100041545018,4199.00,商品名称：戴尔Vostro3020SFF-R14NBN &商品编号：100041545018&商品毛重：5.93kg&商品产地：中国大陆&屏幕尺寸：23-25英寸&系列：戴尔-成就系列&类型：主机+显示器&系统：Windows 11&机箱大小：10L以下&处理器：intel i5&硬盘容量：240GB/256GB SSD+1TB HDD&显卡型号：UHD730&内存容量：16GB&支持IPv6：支持IPv6&适用场景：商用&,http://img13.360buyimg.com/n1/s450x450_jfs/t1/148248/4/31744/91968/6461d776F8e6eb62c/1aafe8b56c9fbd30.jpg,23.8英寸显示器,13代i5 16G 256GSSD+1T,戴尔（DELL）
100041351108,4299.00,商品名称：联想天逸510S&商品编号：100041351108&商品毛重：5.3kg&商品产地：中国大陆&屏幕尺寸：23-25英寸&能效等级：一级能效&支持IPv6：支持IPv6&系统：Windows 11&机箱大小：10L以下&处理器：intel i5&内存容量：16GB&硬盘容量：1TB SSD&优选服务：上门服务，7*24H咨询&显卡型号：集成显卡&类型：主机+显示器&系列：联想-天逸510S&适用场景：商用&,http://img13.360buyimg.com/n1/jfs/t1/61234/25/25249/56578/643caa3eF30082bbf/a4395fd4c7d59599.jpg,23英寸,新品|13代i5 16G 1TB SSD,联想（Lenovo）
13836773522,2098.00,商品名称：酷耶（Cooyes）K06 &商品编号：13836773522&店铺： 酷耶电脑旗舰店&商品毛重：7.0kg&商品产地：中国大陆&内存容量：16GB&系列：酷耶-KY系列&类型：单主机&优选服务：三年质保，7*24H咨询&机箱大小：10-20L&处理器：intel&硬盘容量：512GB SSD&系统：Windows 10&显卡型号：GTX1660S&屏幕尺寸：23-25英寸&支持IPv6：支持IPv6&适用场景：游戏电竞&,http://img12.360buyimg.com/n1/jfs/t1/162850/15/33108/179446/642f86eeFc743fc65/c529344d541733a8.jpg,套餐三(十核+GTX1660S)+显示器,,酷耶（Cooyes）
100024424036,1699.00,商品名称：AOC734&商品编号：100024424036&商品毛重：6.52kg&商品产地：中国大陆&内存容量：8GB&系列：AOC-大师&支持IPv6：支持IPv6&优选服务：上门服务，三年质保&处理器：intel 奔腾 赛扬&硬盘容量：256GB SSD&系统：无&显卡型号：集成显卡&屏幕类型：全面屏&屏幕尺寸：22-24.5英寸&适用场景：商用&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/207539/31/30801/75754/645320cbFfcb7ac07/d5ad0da9a440105b.jpg,23.8英寸,【热销爆款】 N5095 8G 256G 白,AOC
100051520281,3599.00,商品名称：戴尔Vostro3020SFF-R13NBN&商品编号：100051520281&商品毛重：6.02kg&商品产地：中国大陆&屏幕尺寸：23-25英寸&系列：戴尔-成就系列&类型：主机+显示器&系统：Windows 11&机箱大小：10L以下&处理器：intel i3&硬盘容量：240GB/256GB SSD+1TB HDD&显卡型号：UHD730&内存容量：16GB&支持IPv6：支持IPv6&适用场景：商用&,http://img11.360buyimg.com/n1/s450x450_jfs/t1/130570/19/36023/80323/644b67b8F25d0c4aa/7b46c2775728f906.jpg,23.8英寸显示器,13代i3 16G 256GSSD+1T,戴尔（DELL）
100041351132,4399.00,商品名称：联想天逸510S&商品编号：100041351132&商品毛重：6.25kg&商品产地：中国大陆&屏幕尺寸：23-25英寸&能效等级：一级能效&支持IPv6：支持IPv6&系统：Windows 11&机箱大小：10L以下&处理器：intel i5&内存容量：16GB&硬盘容量：512GB SSD+1TB HDD&优选服务：上门服务，7*24H咨询&显卡型号：集成显卡&类型：主机+显示器&系列：联想-天逸510S&适用场景：商用&,http://img12.360buyimg.com/n1/jfs/t1/201612/38/30764/61146/63e5acf6Fe6532ec7/e8c8953ab1efabf8.jpg,23英寸,新品|13代i5 16G 1T+512G SSD,联想（Lenovo）
